27-05- 2024 13:01:11 - __main__ - INFO - Element 307 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 308 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 309 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 310 gescraped.
27-05- 2024 13:01:11 - __main__ - INFO - Element 311 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 312 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 313 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 314 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 315 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 316 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 317 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 318 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 319 gescraped.
27-05- 2024 13:01:12 - __main__ - INFO - Element 320 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 321 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 322 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 323 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 324 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 325 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 326 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 327 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 328 gescraped.
27-05- 2024 13:01:13 - __main__ - INFO - Element 329 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 330 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 331 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 332 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 333 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 334 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 335 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 336 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 337 gescraped.
27-05- 2024 13:01:14 - __main__ - INFO - Element 338 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 339 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 340 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 341 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 342 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 343 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 344 gescraped.
